City,Country,Venue,Tour,Revenue,Tickets_Sold,Tickets_Available
New York,United States,Madison Square Garden,Speak_Now_World_Tour,1988411,26652,26652
New York,United States,Madison Square Garden,Speak_Now_World_Tour,1988411,26652,26652
Perth,Australia,Burswood Dome,Speak_Now_World_Tour,1878530,15142,15142
Adelaide,Australia,Adelaide Entertainment Centre,Speak_Now_World_Tour,1075370,8589,8589
Brisbane,Australia,Brisbane Entertainment Centre,Speak_Now_World_Tour,2416030,19870,19870
Brisbane,Australia,Brisbane Entertainment Centre,Speak_Now_World_Tour,2416030,19870,19870
Sydney,Australia,Allphones Arena,Speak_Now_World_Tour,3420360,27900,27900
Sydney,Australia,Allphones Arena,Speak_Now_World_Tour,3420360,27900,27900
Melbourne,Australia,Rod Laver Arena,Speak_Now_World_Tour,4151650,33793,33793
Melbourne,Australia,Rod Laver Arena,Speak_Now_World_Tour,4151650,33793,33793
Melbourne,Australia,Rod Laver Arena,Speak_Now_World_Tour,4151650,33793,33793
Auckland,New Zealand,Vector Arena,Speak_Now_World_Tour,2888560,32585,32585
Auckland,New Zealand,Vector Arena,Speak_Now_World_Tour,2888560,32585,32585
Auckland,New Zealand,Vector Arena,Speak_Now_World_Tour,2888560,32585,32585
Omaha,United States,CenturyLink Center Omaha,The_Red_Tour,2243164,27877,27877
Omaha,United States,CenturyLink Center Omaha,The_Red_Tour,2243164,27877,27877
St. Louis,United States,Scottrade Center,The_Red_Tour,2346203,28582,28582
St. Louis,United States,Scottrade Center,The_Red_Tour,2346203,28582,28582
Charlotte,United States,Time Warner Cable Arena,The_Red_Tour,1162733,14686,14686
Columbia,United States,Colonial Life Arena,The_Red_Tour,996114,12490,12490
Newark,United States,Prudential Center,The_Red_Tour,3565317,38065,38065
Newark,United States,Prudential Center,The_Red_Tour,3565317,38065,38065
Newark,United States,Prudential Center,The_Red_Tour,3565317,38065,38065
Miami,United States,American Airlines Arena,The_Red_Tour,1010175,12808,12808
Orlando,United States,Amway Center,The_Red_Tour,2054128,25617,25617
Orlando,United States,Amway Center,The_Red_Tour,2054128,25617,25617
Atlanta,United States,Philips Arena,The_Red_Tour,2048023,25471,25471
Atlanta,United States,Philips Arena,The_Red_Tour,2048023,25471,25471
Tampa,United States,Tampa Bay Times Forum,The_Red_Tour,1132095,14080,14080
Cleveland,United States,Quicken Loans Arena,The_Red_Tour,1247605,15336,15336
Indianapolis,United States,Bankers Life Fieldhouse,The_Red_Tour,1082042,13573,13573
Lexington,United States,Rupp Arena,The_Red_Tour,1342699,17003,17003
Detroit,United States,Ford Field,The_Red_Tour,3969059,48265,48265
Louisville,United States,KFC Yum! Center,The_Red_Tour,1246491,15135,15135
Columbus,United States,Nationwide Arena,The_Red_Tour,1155170,14267,14267
Washington,United States,Verizon Center,The_Red_Tour,2489205,27619,27619
Washington,United States,Verizon Center,The_Red_Tour,2489205,27619,27619
Houston,United States,Toyota Center,The_Red_Tour,961422,12467,12467
Austin,United States,Frank Erwin Center,The_Red_Tour,935631,11916,11916
San Antonio,United States,AT&T Center,The_Red_Tour,1105253,13974,13974
Arlington,United States,Cowboys Stadium,The_Red_Tour,4589266,53020,53020
